Year,Month,SpatialAverage,Date,LongTermMean,Anomaly
1998,1,0.1724465431309767,1998-01-01,0.3405008323819367,-0.16805428925095997
1998,2,0.0795960386413641,1998-02-01,0.22719359908797337,-0.14759756044660927
1998,3,0.1001273034200725,1998-03-01,0.21995298427678361,-0.11982568085671111
1998,4,0.1369093758091525,1998-04-01,0.23476617003288427,-0.09785679422373178
1998,5,0.2238071938795348,1998-05-01,0.2628694657212811,-0.03906227184174632
1998,6,0.3280052388302326,1998-06-01,0.29415556898302325,0.03384966984720933
1998,7,0.3555185845981395,1998-07-01,0.2802244534420465,0.07529413115609301
1998,8,0.4335749823888372,1998-08-01,0.28286851456644047,0.15070646782239672
1998,9,0.3224558809734884,1998-09-01,0.30675685391276236,0.015699027060726012
1998,10,0.4542930581813953,1998-10-01,0.384006126781871,0.0702869313995243
1998,11,0.3729103465795348,1998-11-01,0.40855519226054965,-0.035644845681014836
1998,12,0.4587545336697674,1998-12-01,0.4380174484456702,0.020737085224097174
1999,1,0.3787961243907441,1999-01-01,0.3405008323819367,0.038295292008807436
1999,2,0.3368296590469767,1999-02-01,0.22719359908797337,0.10963605995900333
1999,3,0.2751252132334884,1999-03-01,0.21995298427678361,0.05517222895670476
1999,4,0.2525175758413954,1999-04-01,0.23476617003288427,0.017751405808511117
1999,5,0.3033576000488372,1999-05-01,0.2628694657212811,0.0404881343275561
1999,6,0.2368525889809302,1999-06-01,0.29415556898302325,-0.05730298000209305
1999,7,0.2554541626330232,1999-07-01,0.2802244534420465,-0.02477029080902332
1999,8,0.280552756328372,1999-08-01,0.28286851456644047,-0.002315758238068455
1999,9,0.2805379577934884,1999-09-01,0.30675685391276236,-0.02621889611927397
1999,10,0.5011496493627907,1999-10-01,0.384006126781871,0.1171435225809197
1999,11,0.3574778841144186,1999-11-01,0.40855519226054965,-0.05107730814613104
1999,12,0.4625782306660465,1999-12-01,0.4380174484456702,0.024560782220376276
2000,1,0.3423738572252093,2000-01-01,0.3405008323819367,0.0018730248432726193
2000,2,0.3295324801134884,2000-02-01,0.22719359908797337,0.10233888102551503
2000,3,0.2665844823009302,2000-03-01,0.21995298427678361,0.04663149802414657
2000,4,0.2940711403632558,2000-04-01,0.23476617003288427,0.05930497033037155
2000,5,0.2021193805732558,2000-05-01,0.2628694657212811,-0.06075008514802532
2000,6,0.3916395563534883,2000-06-01,0.29415556898302325,0.09748398737046504
2000,7,0.1897595672246511,2000-07-01,0.2802244534420465,-0.0904648862173954
2000,8,0.3048503711609302,2000-08-01,0.28286851456644047,0.021981856594489757
2000,9,0.3077028843604651,2000-09-01,0.30675685391276236,0.0009460304477027504
2000,10,0.4296546369465116,2000-10-01,0.384006126781871,0.04564851016464061
2000,11,0.4239757679255814,2000-11-01,0.40855519226054965,0.015420575665031744
2000,12,0.3281213811186046,2000-12-01,0.4380174484456702,-0.10989606732706558
2001,1,0.4172554094734884,2001-01-01,0.3405008323819367,0.0767545770915517
2001,2,0.2898155689485256,2001-02-01,0.22719359908797337,0.06262196986055224
2001,3,0.2938315927223256,2001-03-01,0.21995298427678361,0.073878608445542
2001,4,0.3014985969581396,2001-04-01,0.23476617003288427,0.0667324269252553
2001,5,0.1856344752972093,2001-05-01,0.2628694657212811,-0.07723499042407181
2001,6,0.2923725396646511,2001-06-01,0.29415556898302325,-0.0017830293183721535
2001,7,0.1428931016068837,2001-07-01,0.2802244534420465,-0.1373313518351628
2001,8,0.2507921121469768,2001-08-01,0.28286851456644047,-0.03207640241946369
2001,9,0.3391921869841861,2001-09-01,0.30675685391276236,0.03243533307142371
2001,10,0.4266633309093023,2001-10-01,0.384006126781871,0.04265720412743129
2001,11,0.404048250116279,2001-11-01,0.40855519226054965,-0.004506942144270665
2001,12,0.382005950052093,2001-12-01,0.4380174484456702,-0.05601149839357722
2002,1,0.238525198563986,2002-01-01,0.3405008323819367,-0.10197563381795069
2002,2,0.1451570752805707,2002-02-01,0.22719359908797337,-0.08203652380740267
2002,3,0.1916595052110139,2002-03-01,0.21995298427678361,-0.028293479065769706
2002,4,0.2136984057392093,2002-04-01,0.23476617003288427,-0.021067764293674962
2002,5,0.2431545675446511,2002-05-01,0.2628694657212811,-0.019714898176630025
2002,6,0.2626398535902325,2002-06-01,0.29415556898302325,-0.031515715392790744
2002,7,0.1735910890846511,2002-07-01,0.2802244534420465,-0.1066333643573954
2002,8,0.2754551273110698,2002-08-01,0.28286851456644047,-0.0074133872553706626
2002,9,0.2834124866153488,2002-09-01,0.30675685391276236,-0.02334436729741357
2002,10,0.2685829110297674,2002-10-01,0.384006126781871,-0.11542321575210363
2002,11,0.4273883334651163,2002-11-01,0.40855519226054965,0.01883314120456664
2002,12,0.2955507889534883,2002-12-01,0.4380174484456702,-0.1424666594921819
2003,1,0.4178974994288372,2003-01-01,0.3405008323819367,0.07739666704690051
2003,2,0.2000561364650325,2003-02-01,0.22719359908797337,-0.027137462622940867
2003,3,0.2370407885688372,2003-03-01,0.21995298427678361,0.017087804292053588
2003,4,0.2310074135257581,2003-04-01,0.23476617003288427,-0.0037587565071261764
2003,5,0.2432156950311628,2003-05-01,0.2628694657212811,-0.01965377069011831
2003,6,0.2464117285948837,2003-06-01,0.29415556898302325,-0.04774384038813956
2003,7,0.3214599073572093,2003-07-01,0.2802244534420465,0.04123545391516281
2003,8,0.2790177727055814,2003-08-01,0.28286851456644047,-0.0038507418608590416
2003,9,0.3122149345516279,2003-09-01,0.30675685391276236,0.005458080638865548
2003,10,0.4867536515906977,2003-10-01,0.384006126781871,0.1027475248088267
