Year,Month,SpatialAverage,Date,LongTermMean,Anomaly
1998,1,0.1992602245771586,1998-01-01,0.3596329296631046,-0.160372705085946
1998,2,0.2343790580688352,1998-02-01,0.32606781334077045,-0.09168875527193526
1998,3,0.2432515999305316,1998-03-01,0.3165828227395499,-0.0733312228090183
1998,4,0.3120820379012146,1998-04-01,0.30812048905264017,0.003961548848574414
1998,5,0.2820881974324794,1998-05-01,0.27046019947739713,0.011627997955082292
1998,6,0.3353168981703713,1998-06-01,0.28718419238832876,0.04813270578204254
1998,7,0.3262656014398558,1998-07-01,0.23509508906649745,0.09117051237335833
1998,8,0.3130594574260687,1998-08-01,0.19378451956153925,0.11927493786452947
1998,9,0.2663509589225883,1998-09-01,0.2008839136683805,0.06546704525420782
1998,10,0.3280483981725421,1998-10-01,0.23993515841513846,0.08811323975740365
1998,11,0.3853132868951821,1998-11-01,0.30818962944146705,0.07712365745371508
1998,12,0.4373099921194672,1998-12-01,0.3788681598955741,0.0584418322238931
1999,1,0.4228628627939679,1999-01-01,0.3596329296631046,0.06322993313086328
1999,2,0.3422857021012926,1999-02-01,0.32606781334077045,0.01621788876052216
1999,3,0.3875614215492362,1999-03-01,0.3165828227395499,0.07097859880968627
1999,4,0.3287651210647865,1999-04-01,0.30812048905264017,0.020644632012146336
1999,5,0.2950943997275057,1999-05-01,0.27046019947739713,0.02463420025010854
1999,6,0.2934963897047395,1999-06-01,0.28718419238832876,0.00631219731641075
1999,7,0.2341121323804212,1999-07-01,0.23509508906649745,-0.0009829566860762584
1999,8,0.2219461595789703,1999-08-01,0.19378451956153925,0.028161640017431044
1999,9,0.1981519724009106,1999-09-01,0.2008839136683805,-0.002731941267469895
1999,10,0.3255618001891506,1999-10-01,0.23993515841513846,0.08562664177401214
1999,11,0.3100183508175714,1999-11-01,0.30818962944146705,0.0018287213761043475
1999,12,0.4225421317067763,1999-12-01,0.3788681598955741,0.043673971811202195
2000,1,0.4255713304481002,2000-01-01,0.3596329296631046,0.06593840078499558
2000,2,0.3779882278936937,2000-02-01,0.32606781334077045,0.05192041455292323
2000,3,0.3202208988292205,2000-03-01,0.3165828227395499,0.0036380760896705944
2000,4,0.3687821807208774,2000-04-01,0.30812048905264017,0.060661691668237205
2000,5,0.3054019568406972,2000-05-01,0.27046019947739713,0.034941757363300074
2000,6,0.3591407612045496,2000-06-01,0.28718419238832876,0.07195656881622081
2000,7,0.2044923884838734,2000-07-01,0.23509508906649745,-0.030602700582624043
2000,8,0.2203871931147929,2000-08-01,0.19378451956153925,0.02660267355325366
2000,9,0.1992271440310252,2000-09-01,0.2008839136683805,-0.001656769637355282
2000,10,0.3148230519575671,2000-10-01,0.23993515841513846,0.07488789354242864
2000,11,0.3346839163310536,2000-11-01,0.30818962944146705,0.02649428688958655
2000,12,0.2997429562340454,2000-12-01,0.3788681598955741,-0.0791252036615287
2001,1,0.4355899955815903,2001-01-01,0.3596329296631046,0.07595706591848567
2001,2,0.4032467943978848,2001-02-01,0.32606781334077045,0.07717898105711435
2001,3,0.348785733008774,2001-03-01,0.3165828227395499,0.032202910269224116
2001,4,0.3450665895968978,2001-04-01,0.30812048905264017,0.03694610054425762
2001,5,0.2305128936202213,2001-05-01,0.27046019947739713,-0.03994730585717585
2001,6,0.2898651376614257,2001-06-01,0.28718419238832876,0.002680945273096924
2001,7,0.1615005852225225,2001-07-01,0.23509508906649745,-0.07359450384397495
2001,8,0.1461626141509281,2001-08-01,0.19378451956153925,-0.04762190541061115
2001,9,0.2395511741438689,2001-09-01,0.2008839136683805,0.03866726047548841
2001,10,0.2626975853332818,2001-10-01,0.23993515841513846,0.02276242691814334
2001,11,0.3643733439757931,2001-11-01,0.30818962944146705,0.056183714534326024
2001,12,0.3169022129426713,2001-12-01,0.3788681598955741,-0.061965946952902806
2002,1,0.3377155719737642,2002-01-01,0.3596329296631046,-0.021917357689340444
2002,2,0.2896986767731296,2002-02-01,0.32606781334077045,-0.03636913656764085
2002,3,0.2631315613663094,2002-03-01,0.3165828227395499,-0.05345126137324052
2002,4,0.2742143469704661,2002-04-01,0.30812048905264017,-0.03390614208217407
2002,5,0.2299933650741289,2002-05-01,0.27046019947739713,-0.04046683440326823
2002,6,0.2313500541433573,2002-06-01,0.28718419238832876,-0.055834138244971465
2002,7,0.1361810247399134,2002-07-01,0.23509508906649745,-0.09891406432658406
2002,8,0.1253662902330074,2002-08-01,0.19378451956153925,-0.06841822932853184
2002,9,0.1330754319152051,2002-09-01,0.2008839136683805,-0.06780848175317539
2002,10,0.1238785258567312,2002-10-01,0.23993515841513846,-0.11605663255840726
2002,11,0.2729797447989202,2002-11-01,0.30818962944146705,-0.035209884642546874
2002,12,0.275845895897924,2002-12-01,0.3788681598955741,-0.10302226399765008
2003,1,0.3412743792532079,2003-01-01,0.3596329296631046,-0.0183585504098967
2003,2,0.3707344567304504,2003-02-01,0.32606781334077045,0.04466664338967996
2003,3,0.3100083577595769,2003-03-01,0.3165828227395499,-0.006574464979972994
2003,4,0.2663702450655018,2003-04-01,0.30812048905264017,-0.04175024398713839
2003,5,0.2309372072160736,2003-05-01,0.27046019947739713,-0.039522992261323525
2003,6,0.1652894599649761,2003-06-01,0.28718419238832876,-0.12189473242335266
2003,7,0.2226075009952446,2003-07-01,0.23509508906649745,-0.012487588071252859
2003,8,0.1859322405042821,2003-08-01,0.19378451956153925,-0.007852279057257161
2003,9,0.1903558549489315,2003-09-01,0.2008839136683805,-0.01052805871944898
2003,10,0.2656917403959608,2003-10-01,0.23993515841513846,0.025756581980822313
