Year,Month,SpatialAverage,Date,LongTermMean,Anomaly
1998,1,0.0134316176018444,1998-01-01,0.03823976854315963,-0.024808150941315228
1998,2,0.0217382500973877,1998-02-01,0.025829481453337078,-0.004091231355949378
1998,3,0.0119685592959511,1998-03-01,0.027479452397631155,-0.015510893101680055
1998,4,0.0290056792956039,1998-04-01,0.0658555363176634,-0.03684985702205951
1998,5,0.1064922411371648,1998-05-01,0.13990643330990346,-0.033414192172738666
1998,6,0.2842731000160149,1998-06-01,0.26046873983862134,0.02380436017739357
1998,7,0.3164372981274929,1998-07-01,0.29718058599686087,0.019256712130632014
1998,8,0.2905478550153134,1998-08-01,0.2923693782607716,-0.0018215232454582009
1998,9,0.3298019142849002,1998-09-01,0.2695693254660363,0.0602325888188639
1998,10,0.3145441926923076,1998-10-01,0.25760622009950596,0.056937972592801644
1998,11,0.217772554353255,1998-11-01,0.19517106474613885,0.022601489607116138
1998,12,0.1280212946742892,1998-12-01,0.12087779325132958,0.007143501422959608
1999,1,0.0505674258418849,1999-01-01,0.03823976854315963,0.012327657298725272
1999,2,0.0580152769133866,1999-02-01,0.025829481453337078,0.03218579546004952
1999,3,0.0044437696126938,1999-03-01,0.027479452397631155,-0.023035682784937353
1999,4,0.0899460086651111,1999-04-01,0.0658555363176634,0.024090472347447697
1999,5,0.1783110609742307,1999-05-01,0.13990643330990346,0.03840462766432723
1999,6,0.2547253464762272,1999-06-01,0.26046873983862134,-0.005743393362394156
1999,7,0.2662542655191869,1999-07-01,0.29718058599686087,-0.030926320477673963
1999,8,0.2478652410576082,1999-08-01,0.2923693782607716,-0.044504137203163374
1999,9,0.2327794730354344,1999-09-01,0.2695693254660363,-0.0367898524306019
1999,10,0.2863180988618233,1999-10-01,0.25760622009950596,0.028711878762317344
1999,11,0.15313312131292,1999-11-01,0.19517106474613885,-0.042037943433218844
1999,12,0.0769337755976063,1999-12-01,0.12087779325132958,-0.043944017653723286
2000,1,0.0566119492279169,2000-01-01,0.03823976854315963,0.018372180684757274
2000,2,0.0717564563754842,2000-02-01,0.025829481453337078,0.04592697492214712
2000,3,0.0350997130077969,2000-03-01,0.027479452397631155,0.0076202606101657445
2000,4,0.0376888463716132,2000-04-01,0.0658555363176634,-0.028166689946050205
2000,5,0.1117481545337713,2000-05-01,0.13990643330990346,-0.028158278776132167
2000,6,0.3189103046290456,2000-06-01,0.26046873983862134,0.05844156479042428
2000,7,0.2818758485502571,2000-07-01,0.29718058599686087,-0.015304737446603767
2000,8,0.3739499959483262,2000-08-01,0.2923693782607716,0.08158061768755459
2000,9,0.1804857687140313,2000-09-01,0.2695693254660363,-0.089083556752005
2000,10,0.2262258960176816,2000-10-01,0.25760622009950596,-0.03138032408182437
2000,11,0.1217840092529017,2000-11-01,0.19517106474613885,-0.07338705549323715
2000,12,0.1206410781481445,2000-12-01,0.12087779325132958,-0.00023671510318508393
2001,1,0.037716035385105,2001-01-01,0.03823976854315963,-0.0005237331580546303
2001,2,0.0151236308036222,2001-02-01,0.025829481453337078,-0.010705850649714877
2001,3,0.0104252859492307,2001-03-01,0.027479452397631155,-0.017054166448400455
2001,4,0.1203037803862735,2001-04-01,0.0658555363176634,0.0544482440686101
2001,5,0.1521957003905861,2001-05-01,0.13990643330990346,0.012289267080682648
2001,6,0.2491492804736467,2001-06-01,0.26046873983862134,-0.011319459364974638
2001,7,0.2565749321688746,2001-07-01,0.29718058599686087,-0.040605653827986254
